"prov";"parado_11";"parado_16";"parado_21";"parado_26";"parado_31";"parado_36";"parado_41";"parado_46"
1;0.0878183975910502;0.097260663306741;0.0665182996723083;0.0749431657082102;0.0437771999684976;0.0465079878171628;0.00101616039035288;0.000978244395782562
2;0.116440596814235;0.168295004939656;0.0896685057028724;0.137191756913741;0.0572145587649579;0.0748676583630618;0.00124631592722257;0.00132777347421341
3;0.139994966092482;0.149810451417891;0.109023542732457;0.120893933109012;0.0689984278782081;0.0666659875629979;0.00150327565639686;0.0011966606388021
4;0.127024514311679;0.131989690185289;0.097010615675302;0.105683044948768;0.0656402853301195;0.0588970823857227;0.001603291164703;0.00106982247829845
5;0.0972367546209797;0.151853176420226;0.073823056853696;0.123540069670984;0.0497116739495215;0.0663223970595836;0.00118055821698494;0.00114854135709334
6;0.143581654009142;0.18754211701694;0.111820032418623;0.154223331494646;0.0715911709054243;0.0831471478180866;0.00157113131843012;0.00147468498641686
7;0.117296495080492;0.130459550051596;0.0907501330904979;0.10304164085834;0.0568916290090769;0.0604703222001404;0.00121718012881699;0.00117176824194204
8;0.096109690027768;0.108993542515609;0.0726144751337106;0.0840135287341694;0.0493121976550861;0.0529398559768554;0.00122762677834355;0.00114576360844872
9;0.0738671474905975;0.102017195232905;0.0550525760930177;0.0788302737661088;0.0377840178610489;0.0488198390328032;0.000951284643725041;0.00102690198054364
10;0.153012096163932;0.189708776584387;0.120561190832627;0.157362164421121;0.0735609337453177;0.0818808930828044;0.00149945342334319;0.00139280123573264
11;0.156418076272527;0.224762660592952;0.123626154879002;0.190078359199257;0.0749611567595073;0.096494122673422;0.00153321321408247;0.00157970663327601
12;0.113362346424698;0.1165104811348;0.0869884221024594;0.0922054588276129;0.0565603260430688;0.0521972585030198;0.00129364622167337;0.000966454500518925
13;0.112713015146373;0.17906161576751;0.0858762226059091;0.147761330425953;0.0575245253306128;0.0767699746309468;0.00137464426880867;0.00130227022873598
14;0.127946430889153;0.178782031227796;0.0981126712005377;0.147232054149646;0.0652989681319281;0.0780511258308436;0.00154934045472005;0.00133570021222379
15;0.100214437574946;0.102499938238244;0.0769326013486343;0.08028961624906;0.0489668799904643;0.0468711977847383;0.00107938952119087;0.000923922643349608
16;0.0838322014964284;0.140792445007848;0.063566008339704;0.116368216329147;0.0417956843819118;0.0582851702751494;0.000972102586488429;0.000946524242688204
17;0.112524514272115;0.117102655126184;0.0857598478753823;0.0902526469432594;0.0572290640558679;0.0577396199110948;0.00136716200067171;0.00128172466300954
18;0.159694025516701;0.167093230035029;0.124796368431053;0.137172035424438;0.0800271261978239;0.0726782635140167;0.00177866014656467;0.00125617160156149
19;0.0969699475192157;0.12497005026113;0.0729034277850464;0.0988183803333237;0.0505950490409974;0.05742364985977;0.00130500805509302;0.00109293079763226
20;0.0774220429324559;0.0896463625937282;0.058590185857869;0.0686065379962919;0.0383609553867927;0.0436517291697734;0.000885303709716714;0.000955772232913872
21;0.119534443514046;0.174271429998519;0.0927957574804844;0.144520329229902;0.057488426631224;0.0741117759377532;0.00121027544531799;0.0012235414946381
22;0.0744093550396087;0.0911142452565238;0.0556684035471688;0.0707384566453183;0.0386357620000918;0.0423736135919228;0.000999933475245817;0.000884245191655767
23;0.120376551159963;0.175661878643224;0.0929120976573085;0.146654016791105;0.0593998541709983;0.0735131167108603;0.00130685404689923;0.00118549474652855
24;0.111145694911273;0.12323661809979;0.0862260350241954;0.0986247701917734;0.0532241488091408;0.0541201092170297;0.00111628154021527;0.000962175976846006
25;0.081553793389393;0.10659409591039;0.0612984126439252;0.0811667136940954;0.0416161232451841;0.0537933365254873;0.00103481734934451;0.00126628046866602
26;0.0820913123494865;0.114143099683867;0.0615086576383841;0.0892637187489694;0.0424837081550125;0.0537456899378448;0.00111286750658223;0.00106587974634611
