"rmse_lab3PI";"rrmse_lab3PI";"rmse_lab3Hajek";"rrmse_lab3Hajek"
0.0177874574360665;0.0789294185682081;0.163691530430086;0.726358860889788
0.0155958222844585;0.06369304209086;0.170633011795972;0.696861980354916
0.0140716843915939;0.0574418775641922;0.178244417777847;0.727609697429839
0.0165123362078863;0.0799744049610184;0.181212338686415;0.877667991711494
0.0188394896900778;0.0881051636660037;0.197428330582699;0.923297587378694
0.0134872283698922;0.0563038432588974;0.183568128587682;0.766324322230822
0.0117312585187644;0.0463580592631127;0.190218680754739;0.751681404111459
0.00937384783351022;0.0458944990559271;0.211865901149483;1.03729861770617
0.0165611091735858;0.0822532465796231;0.181165803657438;0.899787288631491
0.0150484152517139;0.0561444137178079;0.195914116487685;0.730939638842745
0.01379164198835;0.0508780487940209;0.1893987341905;0.698701289361333
0.013969131258402;0.0610704701310719;0.206314872756414;0.901970640922153
0.0134373791366452;0.0630960537122387;0.223909194664056;1.05137962020133
0.0145598890870573;0.0675404797870552;0.161913549270673;0.751085309536276
0.0103692463811692;0.0423908198445048;0.212494245769511;0.868703950054429
0.0182313048060246;0.0811369665596899;0.246108033453693;1.0952841550762
0.0138215708696184;0.0644380614239074;0.191122782071019;0.891040655709524
0.0125170009318423;0.0531874108816994;0.210847051722948;0.895934164601261
0.0179395231241148;0.0935297005369318;0.225228041126643;1.1742514610535
0.014683524350282;0.0643001372120593;0.223780564025745;0.979950087525895
0.0194499292081968;0.0748326795896541;0.212058629147103;0.815885511937944
0.0193550559577494;0.100689006105276;0.169466725219655;0.881600971215537
0.0139672329789302;0.0579076803666106;0.186453838539328;0.773031372896169
0.0150818264455577;0.057706647152402;0.183746943028983;0.703059410276482
0.0190395018615814;0.0929353749465749;0.142489970898061;0.695520238282008
0.0142101334967973;0.072534013041699;0.20023324652491;1.02206787276791
0.0139716435407745;0.0613966151904993;0.233560330078029;1.02635124262352
0.00886541398639626;0.0470395797986875;0.217999228137795;1.1566963600093
0.0144772646642076;0.0571823544786416;0.225299130891996;0.889887355464822
0.0110899267173132;0.0516961978940262;0.21051837828442;0.98134099724308
0.0123149213040905;0.053981576867941;0.225286872375975;0.987528894274157
0.0154592144715801;0.0607049070836065;0.238482531185333;0.936468015453391
0.0120439448030056;0.043966040176489;0.22508526834838;0.821666664303468
0.018793109482642;0.08227816499892;0.197970902934243;0.86673696184517
0.0123294250100105;0.0402915664772788;0.211870475396043;0.692375624740105
0.00929186859292092;0.0371944946640511;0.237635156801739;0.95123165844027
0.0175975788049607;0.0658341318762235;0.243373717592737;0.910483061152159
0.0131842507542005;0.0474942089445835;0.162158762744471;0.584151674870667
0.0126213725893584;0.0519997504197998;0.23256077688333;0.958144787324009
0.0185643469863056;0.101546051293627;0.217314647177453;1.18870027183917
0.00928485110531922;0.0385312216141196;0.241063125496254;1.00038833214753
0.0200252368088351;0.0970322508039723;0.233198046072486;1.12996073452267
0.014871844732266;0.0706294895923318;0.236638648151887;1.12384625025872
0.0169996837820046;0.0668684456385406;0.229953155442233;0.904523300037918
0.0143974904346513;0.0715380951000368;0.242809711051586;1.20647027197289
0.00988366085835556;0.0411642298829349;0.223143821338175;0.929366526245769
0.0161683568230972;0.0803874712880505;0.182708608925505;0.908409136115615
0.0149818712348277;0.0629439349716863;0.234382272728285;0.984719618923818
0.0203294659641635;0.0970060409959323;0.239501369613519;1.14282784015408
0.0125581936593501;0.057041574882946;0.243162260508003;1.10448673334055
0.0280099789126052;0.0991960008543608;0.186126114266181;0.659156732940566
0.0263019643812346;0.0944067669224146;0.152381366649897;0.54694896381578
0.0180105992458385;0.0690076899659409;0.173274639757608;0.663902541838851
0.0165007883523463;0.0490389576199134;0.165139696418594;0.490781313056797
0.0141346572953977;0.0424668184163409;0.195500055175604;0.587369411936873
0.0163074426398301;0.049819804495544;0.188216758473283;0.575008743984254
