"Province","Sex","age4","Conteo"
49,6,3,13270
50,6,3,67865
51,6,3,5134
52,6,3,4811
1,1,4,32021
2,1,4,33545
3,1,4,175765
4,1,4,51407
5,1,4,19013
6,1,4,58708
7,1,4,89077
8,1,4,461812
9,1,4,39170
10,1,4,40343
11,1,4,96320
12,1,4,51403
13,1,4,43299
14,1,4,66051
15,1,4,120446
16,1,4,20281
17,1,4,65333
18,1,4,74898
19,1,4,19796
20,1,4,71055
21,1,4,40375
22,1,4,22812
23,1,4,53376
24,1,4,54220
25,1,4,38447
26,1,4,30215
27,1,4,42524
28,1,4,507516
29,1,4,137593
30,1,4,107583
31,1,4,58865
32,1,4,42128
33,1,4,112649
34,1,4,18509
35,1,4,83720
36,1,4,93302
37,1,4,38717
38,1,4,89281
39,1,4,56879
40,1,4,15717
41,1,4,141962
42,1,4,10443
43,1,4,72378
44,1,4,14876
45,1,4,57793
46,1,4,215954
47,1,4,53886
48,1,4,113025
49,1,4,23804
50,1,4,89266
51,1,4,4884
52,1,4,4357
1,6,4,39955
2,6,4,41555
3,6,4,211907
4,6,4,61674
5,6,4,21840
6,6,4,74069
7,6,4,109135
8,6,4,629559
9,6,4,46568
10,6,4,49687
11,6,4,119100
12,6,4,63458
13,6,4,56374
14,6,4,87778
15,6,4,162158
16,6,4,24481
17,6,4,79235
18,6,4,94980
19,6,4,22956
20,6,4,93976
21,6,4,50283
22,6,4,27459
23,6,4,69297
24,6,4,70569
25,6,4,47521
26,6,4,37570
27,6,4,53523
28,6,4,713777
29,6,4,167904
30,6,4,135924
31,6,4,73582
32,6,4,54169
33,6,4,155401
34,6,4,22697
35,6,4,99644
36,6,4,125529
37,6,4,49127
38,6,4,108882
39,6,4,75436
40,6,4,18877
41,6,4,190261
42,6,4,12078
43,6,4,87782
44,6,4,17212
45,6,4,69480
46,6,4,287361
47,6,4,68511
48,6,4,155695
49,6,4,28582
50,6,4,118578
51,6,4,5790
52,6,4,5170
